250.000000, 1.289918, 0.933073
255.020080, 1.315815, 0.945826
260.040161, 1.341498, 0.958093
265.060241, 1.363696, 0.977927
270.080321, 1.385426, 0.999295
275.100402, 1.407289, 1.020160
280.120482, 1.407802, 1.044790
285.140562, 1.406840, 1.069979
290.160643, 1.406183, 1.095247
295.180723, 1.407253, 1.095174
300.200803, 1.409045, 1.083611
305.220884, 1.410970, 1.072152
310.240964, 1.414245, 1.061434
315.261044, 1.438470, 1.061766
320.281124, 1.462443, 1.061978
325.301205, 1.486174, 1.062067
330.321285, 1.509673, 1.062034
335.341365, 1.530606, 1.069583
340.361446, 1.551300, 1.077415
345.381526, 1.571923, 1.085043
350.401606, 1.592478, 1.092472
355.421687, 1.612386, 1.100164
360.441767, 1.630364, 1.109162
365.461847, 1.648433, 1.118069
370.481928, 1.666510, 1.126828
375.502008, 1.684579, 1.135434
380.522088, 1.702643, 1.143889
385.542169, 1.719521, 1.152776
390.562249, 1.736128, 1.161670
395.582329, 1.752747, 1.170441
400.602410, 1.769378, 1.179089
405.622490, 1.786036, 1.187631
410.642570, 1.802769, 1.196112
415.662651, 1.819045, 1.204679
420.682731, 1.834821, 1.213363
425.702811, 1.850616, 1.221951
430.722892, 1.866432, 1.230444
435.742972, 1.882267, 1.238844
440.763052, 1.898164, 1.247196
445.783133, 1.914081, 1.255460
450.803213, 1.930017, 1.263640
455.823293, 1.945184, 1.272096
460.843373, 1.960367, 1.280479
465.863454, 1.975572, 1.288790
470.883534, 1.990822, 1.297051
475.903614, 2.006107, 1.305256
480.923695, 2.021413, 1.313393
485.943775, 2.036741, 1.321464
490.963855, 2.052090, 1.329470
495.983936, 2.067452, 1.337415
501.004016, 2.082120, 1.345647
506.024096, 2.096810, 1.353823
511.044177, 2.111536, 1.361957
516.064257, 2.126298, 1.370052
521.084337, 2.141081, 1.378095
526.104418, 2.155886, 1.386086
531.124498, 2.170712, 1.394027
536.144578, 2.185559, 1.401918
541.164659, 2.200427, 1.409761
546.184739, 2.215315, 1.417557
551.204819, 2.230217, 1.425338
556.224900, 2.244441, 1.433434
561.244980, 2.258687, 1.441489
566.265060, 2.272954, 1.449505
571.285141, 2.287243, 1.457481
576.305221, 2.301551, 1.465419
581.325301, 2.315888, 1.473328
586.345382, 2.330245, 1.481202
591.365462, 2.344626, 1.489045
596.385542, 2.359032, 1.496859
601.405622, 2.373457, 1.504639
606.425703, 2.387900, 1.512385
611.445783, 2.402362, 1.520097
616.465863, 2.416842, 1.527776
621.485944, 2.431095, 1.535549
626.506024, 2.444826, 1.543574
631.526104, 2.458576, 1.551571
636.546185, 2.472344, 1.559541
641.566265, 2.486131, 1.567483
646.586345, 2.499941, 1.575407
651.606426, 2.513774, 1.583311
656.626506, 2.527624, 1.591189
661.646586, 2.541492, 1.599043
666.666667, 2.555376, 1.606871
671.686747, 2.569281, 1.614680
676.706827, 2.583203, 1.622467
681.726908, 2.597141, 1.630230
686.746988, 2.611095, 1.637970
691.767068, 2.625065, 1.645688
696.787149, 2.639050, 1.653383
701.807229, 2.653051, 1.661056
706.827309, 2.667068, 1.668708
711.847390, 2.680488, 1.676651
716.867470, 2.693617, 1.684721
721.887550, 2.706762, 1.692774
726.907631, 2.719923, 1.700809
731.927711, 2.733098, 1.708827
736.947791, 2.746288, 1.716829
741.967871, 2.759492, 1.724813
746.987952, 2.772711, 1.732781
752.008032, 2.785944, 1.740734
757.028112, 2.799190, 1.748670
762.048193, 2.812451, 1.756590
767.068273, 2.825725, 1.764495
772.088353, 2.839012, 1.772385
777.108434, 2.852313, 1.780260
782.128514, 2.865626, 1.788119
787.148594, 2.878953, 1.795965
792.168675, 2.892292, 1.803795
797.188755, 2.905643, 1.811612
802.208835, 2.919007, 1.819414
807.228916, 2.932383, 1.827203
812.248996, 2.945771, 1.834978
817.269076, 2.959171, 1.842740
822.289157, 2.972583, 1.850488
827.309237, 2.985833, 1.858290
832.329317, 2.998106, 1.866464
837.349398, 3.010391, 1.874628
842.369478, 3.022688, 1.882782
847.389558, 3.034996, 1.890926
852.409639, 3.047315, 1.899061
857.429719, 3.059651, 1.907196
862.449799, 3.071999, 1.915323
867.469880, 3.084357, 1.923439
872.489960, 3.096725, 1.931547
877.510040, 3.109105, 1.939645
882.530120, 3.121494, 1.947734
887.550201, 3.133894, 1.955815
892.570281, 3.146303, 1.963886
897.590361, 3.158725, 1.971952
902.610442, 3.171157, 1.980011
907.630522, 3.183599, 1.988061
912.650602, 3.196051, 1.996103
917.670683, 3.208512, 2.004137
922.690763, 3.220983, 2.012162
927.710843, 3.233463, 2.020180
932.730924, 3.245952, 2.028189
937.751004, 3.258450, 2.036190
942.771084, 3.270957, 2.044184
947.791165, 3.283473, 2.052169
952.811245, 3.295997, 2.060147
957.831325, 3.308531, 2.068117
962.851406, 3.321073, 2.076080
967.871486, 3.333623, 2.084035
972.891566, 3.346182, 2.091983
977.911647, 3.358749, 2.099924
982.931727, 3.371324, 2.107858
987.951807, 3.383907, 2.115784
992.971888, 3.396164, 2.123785
997.991968, 3.407238, 2.132074
1003.012048, 3.418320, 2.140358
1008.032129, 3.429409, 2.148638
1013.052209, 3.440506, 2.156912
1018.072289, 3.451612, 2.165186
1023.092369, 3.462725, 2.173457
1028.112450, 3.473846, 2.181722
1033.132530, 3.484974, 2.189983
1038.152610, 3.496109, 2.198240
1043.172691, 3.507251, 2.206492
1048.192771, 3.518400, 2.214740
1053.212851, 3.529556, 2.222983
1058.232932, 3.540719, 2.231222
1063.253012, 3.551888, 2.239457
